ID	SPECIES
Specimen_1	Homo_sapiens
Specimen_2	Homo_sapiens
Specimen_3	Homo_sapiens
Specimen_4	Homo_sapiens
Specimen_5	Homo_sapiens
Specimen_6	Homo_sapiens
Specimen_7	Homo_sapiens
Specimen_8	Homo_sapiens
Specimen_9	Homo_sapiens
Specimen_10	Homo_sapiens
Specimen_11	Homo_sapiens
Specimen_12	Homo_sapiens
Specimen_13	Homo_sapiens
Specimen_14	Homo_sapiens
Specimen_15	Homo_sapiens
Specimen_16	Homo_sapiens
Specimen_17	Homo_sapiens
Specimen_18	Homo_sapiens
Specimen_19	Homo_sapiens
Specimen_20	Homo_sapiens
Specimen_21	Homo_sapiens
Specimen_22	Homo_sapiens
Specimen_23	Homo_sapiens
Specimen_24	Homo_sapiens
Specimen_25	Homo_sapiens
Specimen_26	Homo_sapiens
Specimen_27	Homo_sapiens
Specimen_28	Homo_sapiens
Specimen_29	Homo_sapiens
Specimen_30	Homo_sapiens
Specimen_31	Homo_sapiens
Specimen_32	Homo_sapiens
Specimen_33	Homo_sapiens
Specimen_34	Homo_sapiens
Specimen_35	Homo_sapiens
Specimen_36	Homo_sapiens
Specimen_37	Homo_sapiens
Specimen_38	Homo_sapiens
Specimen_39	Homo_sapiens
Specimen_40	Homo_sapiens
Specimen_41	Homo_sapiens
Specimen_42	Homo_sapiens
Specimen_43	Homo_sapiens
Specimen_44	Homo_sapiens
Specimen_45	Homo_sapiens
Specimen_46	Homo_sapiens
Specimen_47	Homo_sapiens
Specimen_48	Homo_sapiens
Specimen_49	Homo_sapiens
Specimen_50	Homo_sapiens
Specimen_51	Homo_sapiens
Specimen_52	Homo_sapiens
Specimen_53	Homo_sapiens
Specimen_54	Homo_sapiens
Specimen_55	Homo_sapiens
Specimen_56	Homo_sapiens
Specimen_57	Homo_sapiens
Specimen_58	Homo_sapiens
Specimen_59	Homo_sapiens
Specimen_60	Homo_sapiens
Specimen_61	Homo_sapiens
Specimen_62	Homo_sapiens
Specimen_63	Homo_sapiens
Specimen_64	Homo_sapiens
Specimen_65	neander
Specimen_66	neander
Specimen_67	neander
Specimen_68	neander
Specimen_69	neander
Specimen_70	neander
Specimen_71	neander
Specimen_72	neander



