ID	SPECIES
Specimen_1	Homo
Specimen_2	Homo
Specimen_3	Homo
Specimen_4	Homo
Specimen_5	Homo
Specimen_6	Homo
Specimen_7	Homo
Specimen_8	Homo
Specimen_9	Homo
Specimen_10	Homo
Specimen_11	Homo
Specimen_12	Homo
Specimen_13	Homo
Specimen_14	Homo
Specimen_15	Homo
Specimen_16	Homo
Specimen_17	Homo
Specimen_18	Homo
Specimen_19	Homo
Specimen_20	Homo
Specimen_21	Homo
Specimen_22	Homo
Specimen_23	Homo
Specimen_24	Homo
Specimen_25	Homo
Specimen_26	Homo
Specimen_27	Homo
Specimen_28	Homo
Specimen_29	Homo
Specimen_30	Homo
Specimen_31	Homo
Specimen_32	Homo
Specimen_33	Homo
Specimen_34	Homo
Specimen_35	Homo
Specimen_36	Homo
Specimen_37	Homo
Specimen_38	Homo
Specimen_39	Homo
Specimen_40	Homo
Specimen_41	Homo
Specimen_42	Homo
Specimen_43	Homo
Specimen_44	Homo
Specimen_45	Homo
Specimen_46	Homo
Specimen_47	Homo
Specimen_48	Homo
Specimen_49	Homo
Specimen_50	Homo
Specimen_51	Homo
Specimen_52	Homo
Specimen_53	Homo
Specimen_54	Homo
Specimen_55	Homo
Specimen_56	Homo
Specimen_57	Homo
Specimen_58	Homo
Specimen_59	Homo
Specimen_60	Homo
Specimen_61	Homo
Specimen_62	Homo
Specimen_63	Homo
Specimen_64	Homo
